○,1,30,29,117,116,0,0,3
、,1,18,17,72,67,0,0,2
〇,1,54,54,211,211,22,8,3
〡,1,7,56,29,221,0,0,2
〢,2,14,102,102,230,0,0,3
〣,3,21,168,170,236,16,6,4
〤,1,40,47,158,185,19,1,2
〥,1,40,58,159,225,14,6,3
〦,1,62,23,241,90,0,0,2
〧,2,113,28,222,148,14,2,3
〨,3,170,33,238,188,31,8,4
〩,1,57,61,222,237,34,9,3
・,1,12,11,47,46,0,0,2
㐄,1,62,64,242,250,36,11,2
㐅,1,56,58,221,226,34,4,2
㐆,1,34,61,135,239,9,0,4
㐌,2,121,76,244,244,36,11,3
㐖,3,87,118,243,238,33,13,5
㐜,4,89,146,252,245,34,13,5
㐡,3,132,120,251,246,32,16,4
㐤,4,125,129,249,244,32,15,9
㐫,4,160,91,245,245,36,10,5
㐰,2,59,118,232,245,35,10,4
㐷,3,97,132,249,248,39,10,4
㐺,3,77,188,252,252,35,14,4
㑇,2,68,129,245,253,38,11,4
㑩,2,70,126,252,248,34,14,6
㒳,2,77,93,233,241,25,16,3
㒸,2,75,76,251,247,36,12,3
㔾,1,56,58,220,228,27,7,2
㕥,2,73,106,238,246,28,15,4
㕻,4,138,83,238,255,37,10,6
㖊,4,107,120,241,247,32,12,6
㖞,2,59,100,232,233,25,14,5
㗂,4,86,136,235,246,29,15,9
㗎,4,105,133,238,245,27,16,7
㚻,2,111,65,247,239,31,14,8
㛂,3,94,168,245,244,33,14,7
㝄,4,124,94,247,247,32,15,7
㝇,6,172,120,242,244,32,12,9
㝉,3,136,38,248,222,39,5,4
㝵,3,113,70,231,234,21,19,6
㞎,2,103,101,246,240,32,12,6
㞙,3,119,106,245,241,31,14,5
㞞,5,143,162,245,239,33,12,7
㢲,5,163,121,245,241,34,11,6
㢴,2,98,90,226,246,29,12,5
㤅,5,123,104,232,240,33,12,6
㥁,6,175,119,235,247,31,15,10
㥏,5,103,157,246,246,30,17,12
㥯,9,261,120,239,238,23,21,10
㦂,7,193,119,242,242,32,14,9
㧑,3,83,136,247,242,33,14,4
㧯,1,63,62,247,242,34,13,3
㧰,4,99,166,244,242,32,14,5
㨫,5,120,160,250,242,32,15,9
㩐,3,95,137,247,245,34,14,5
㪃,3,92,147,246,247,34,14,6
㪋,3,103,125,249,247,34,14,7
㫺,5,163,114,249,246,35,13,8
㬎,5,104,99,236,234,20,21,8
㮎,4,124,134,251,247,34,15,8
㮚,2,110,67,243,247,32,15,4
㮸,4,89,145,252,247,34,14,5
㯳,2,69,126,252,249,30,19,5
㱩,5,127,145,248,244,32,15,6
㱮,4,136,125,249,243,31,15,7
㱾,5,149,141,248,242,34,12,7
㲈,5,186,106,245,246,31,16,10
㲋,3,108,92,240,249,35,11,6
㲱,9,151,185,249,232,30,15,12
㲾,4,142,103,248,246,36,10,5
㳂,6,123,179,246,242,36,10,7
㳮,5,117,184,244,242,30,14,7
㵪,7,180,166,244,249,34,13,8
㵮,5,133,139,249,251,35,14,9
㶉,10,135,220,248,245,32,15,11
㶶,2,71,76,251,244,34,13,4
㶸,5,123,177,247,249,36,12,6
㷖,5,127,139,246,242,31,14,9
㷭,4,129,90,247,247,32,17,6
㹠,2,64,120,244,241,23,22,3
㹢,3,66,166,238,238,31,14,5
㹴,1,63,61,247,238,30,15,6
㺍,5,147,141,252,245,35,13,7
㺢,6,148,93,250,242,30,15,10
㺵,2,110,99,246,244,35,12,3
㻅,4,130,110,249,242,37,11,5
㻽,4,115,122,249,247,33,16,8
㽮,4,154,84,247,241,30,17,17
㿝,1,51,64,199,249,26,10,4
䁖,4,90,142,241,250,27,18,10
䂖,2,85,83,244,248,38,9,4
䂲,2,97,101,245,251,33,15,4
䂶,3,77,171,248,251,35,13,5
䃉,2,64,116,248,242,30,15,9
䅵,7,113,175,250,248,34,14,8
䇲,3,103,96,237,247,33,12,4
䉤,2,95,78,244,244,22,24,5
䌷,3,85,120,238,244,31,14,8
䌸,3,91,121,242,245,32,13,4
䌹,4,102,151,244,251,33,15,6
䌽,7,163,150,243,246,31,15,8
䍁,6,144,172,245,240,32,14,7
䍃,1,60,61,236,237,20,23,5
䍹,4,110,141,247,248,32,16,8
䒗,3,165,68,234,236,32,11,4
䓕,4,162,70,242,240,34,12,5
䔢,5,216,84,239,249,31,14,7
䕭,7,175,152,240,248,33,13,8
䖟,2,113,64,227,243,33,10,5
䖸,2,71,69,235,240,18,24,6
䗈,3,99,120,247,246,31,16,9
䗖,3,106,122,248,248,29,18,7
䗥,5,113,198,249,237,20,24,8
䗪,5,151,129,254,247,22,25,12
䗶,2,103,77,247,246,30,17,9
䙓,4,109,125,250,243,32,15,8
䛟,5,145,121,250,246,34,14,7
䜣,3,80,112,240,241,35,9,4
䜩,10,158,205,248,243,32,15,13
䝓,10,136,228,251,244,31,17,13
䝙,4,114,169,246,242,33,14,5
䞓,6,130,190,253,245,33,16,9
䟆,2,99,118,248,244,31,16,9
䟖,2,62,120,243,241,33,13,4
䠀,5,103,173,244,245,31,16,8
䠞,3,86,99,251,245,32,16,7
䤈,3,113,101,251,239,31,16,12
䥑,3,79,90,250,247,32,16,5
䥯,8,148,192,249,244,31,17,14
䦉,1,63,60,246,233,28,15,5
䦕,3,90,156,219,240,24,14,9
䩄,3,97,145,250,232,25,17,9
䩦,3,87,111,244,248,31,16,8
䫏,6,121,153,248,240,30,16,13
䬠,8,248,95,246,248,32,15,9
䬪,4,112,115,251,249,32,17,7
䯄,3,79,133,246,246,32,15,6
䯝,3,114,100,252,250,31,18,12
䲔,10,224,153,254,244,31,19,24
䲠,2,92,73,253,250,32,18,11
䳗,7,162,105,255,249,34,16,10
䴔,8,161,167,252,251,37,13,9
䴕,5,145,130,250,250,34,15,7
䴘,5,122,166,252,252,32,17,6
䴙,8,124,216,253,251,33,17,11
䵹,3,105,110,250,245,30,18,12
䶑,4,121,130,253,249,28,21,17
䶮,2,78,71,254,249,37,13,3
一,1,57,6,223,24,0,0,2
丁,1,59,53,229,207,19,11,2
丂,1,57,55,222,217,18,15,2
七,1,59,55,231,216,25,12,2
丄,1,60,54,233,212,32,6,2
丅,1,59,55,229,214,21,11,2
丆,1,61,41,240,161,21,5,2
万,1,59,53,229,208,18,14,2
丈,1,59,62,229,241,25,16,2
三,3,149,18,229,189,20,7,4
上,1,59,53,230,209,29,7,2
下,1,58,53,228,209,18,13,2
丌,1,60,56,236,218,20,15,2
不,2,84,76,237,216,19,16,3
与,1,60,60,236,233,29,12,2
丏,1,57,54,222,213,18,14,3
丐,1,57,54,222,213,17,15,2
丑,1,62,54,242,211,20,17,4
丒,3,147,89,218,210,16,15,4
专,1,62,63,244,247,39,8,2
